id,label,geonames/0/label,geonames/0/uri,geonames/0/superclass_uri,wordnet/labelsense,wordnet/labelsense_n,wordnet/synsets/0/uri,wordnet/synsets/0/tagcount,wordnet/synsets/0/superclass_uri,dbpedia/0/label,dbpedia/0/uri,dbpedia/0/superclass_uri,wordnet/synsets/1/uri,wordnet/synsets/1/tagcount,wordnet/synsets/1/superclass_uri,wordnet/synsets/2/uri,wordnet/synsets/2/tagcount,wordnet/synsets/2/superclass_uri,geonames/1/label,geonames/1/uri,geonames/1/superclass_uri,geonames/2/label,geonames/2/uri,geonames/2/superclass_uri,wordnet/synsets/3/uri,wordnet/synsets/3/tagcount,wordnet/synsets/3/superclass_uri,wordnet/synsets/4/uri,wordnet/synsets/4/tagcount,wordnet/synsets/4/superclass_uri,dbpedia/1/label,dbpedia/1/uri,dbpedia/1/superclass_uri
pv0,abandoned airfield,abandoned airfield,http://www.geonames.org/ontology#S.AIRQ,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv1,abandoned camp,abandoned camp,http://www.geonames.org/ontology#S.CMPQ,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv2,abandoned canal,abandoned canal,http://www.geonames.org/ontology#H.CNLQ,http://www.geonames.org/ontology#H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv3,abandoned factory,abandoned factory,http://www.geonames.org/ontology#S.MFGQ,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv4,abandoned farm,abandoned farm,http://www.geonames.org/ontology#S.FRMQ,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv5,abandoned mine,abandoned mine,http://www.geonames.org/ontology#S.MNQ,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv6,abandoned mission,abandoned mission,http://www.geonames.org/ontology#S.MSSNQ,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv7,abandoned oil well,abandoned oil well,http://www.geonames.org/ontology#S.OILQ,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv8,abandoned police post,abandoned police post,http://www.geonames.org/ontology#S.PPQ,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv9,abandoned populated place,abandoned populated place,http://www.geonames.org/ontology#P.PPLQ,http://www.geonames.org/ontology#P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv10,abandoned prison,abandoned prison,http://www.geonames.org/ontology#S.PRNQ,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv11,abandoned railroad,abandoned railroad,http://www.geonames.org/ontology#R.RRQ,http://www.geonames.org/ontology#R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv12,abandoned railroad station,abandoned railroad station,http://www.geonames.org/ontology#S.RSTNQ,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv13,abandoned railroad stop,abandoned railroad stop,http://www.geonames.org/ontology#S.RSTPQ,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv14,abandoned watercourse,abandoned watercourse,http://www.geonames.org/ontology#H.STMQ,http://www.geonames.org/ontology#H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv15,abandoned well,abandoned well,http://www.geonames.org/ontology#H.WLLQ,http://www.geonames.org/ontology#H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv16,abattoir,,,,http://wordnet-rdf.princeton.edu/wn31/abattoir-n,1,http://wordnet-rdf.princeton.edu/wn31/102669573-n,0,http://wordnet-rdf.princeton.edu/wn31/102916498-n,,,,,,,,,,,,,,,,,,,,,,,,
pv17,abbey,,,,http://wordnet-rdf.princeton.edu/wn31/abbey-n,3,http://wordnet-rdf.princeton.edu/wn31/102670206-n,1,http://wordnet-rdf.princeton.edu/wn31/103031762-n,abbey,http://dbpedia.org/ontology/Abbey,http://dbpedia.org/ontology/ReligiousBuilding,http://wordnet-rdf.princeton.edu/wn31/102670009-n,0,http://wordnet-rdf.princeton.edu/wn31/103786777-n,http://wordnet-rdf.princeton.edu/wn31/102670108-n,0,http://wordnet-rdf.princeton.edu/wn31/103104105-n,,,,,,,,,,,,,,,
pv18,abyssal zone,,,,http://wordnet-rdf.princeton.edu/wn31/abyssal+zone-n,1,http://wordnet-rdf.princeton.edu/wn31/109209489-n,0,http://wordnet-rdf.princeton.edu/wn31/109399438-n,,,,,,,,,,,,,,,,,,,,,,,,
pv19,acclivity,,,,http://wordnet-rdf.princeton.edu/wn31/acclivity-n,1,http://wordnet-rdf.princeton.edu/wn31/109229873-n,0,http://wordnet-rdf.princeton.edu/wn31/109460358-n,,,,,,,,,,,,,,,,,,,,,,,,
pv20,administrative division,administrative division,http://www.geonames.org/ontology#A.ADMD,http://www.geonames.org/ontology#A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv21,administrative facility,administrative facility,http://www.geonames.org/ontology#S.ADMF,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv22,administrative region,,,,,,,,,administrative region,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Region,,,,,,,,,,,,,,,,,,,,,
pv23,adobe house,,,,http://wordnet-rdf.princeton.edu/wn31/adobe+house-n,1,http://wordnet-rdf.princeton.edu/wn31/104263009-n,2,http://wordnet-rdf.princeton.edu/wn31/103549540-n,,,,,,,,,,,,,,,,,,,,,,,,
pv24,aegean island,,,,http://wordnet-rdf.princeton.edu/wn31/Aegean+island-n,1,http://wordnet-rdf.princeton.edu/wn31/108800479-n,1,http://wordnet-rdf.princeton.edu/wn31/109339360-n,,,,,,,,,,,,,,,,,,,,,,,,
pv25,aerie,,,,http://wordnet-rdf.princeton.edu/wn31/aerie-n,2,http://wordnet-rdf.princeton.edu/wn31/108509364-n,0,http://wordnet-rdf.princeton.edu/wn31/108598331-n,,,,,,,,,,,,,,,,,,,,,,,,
pv26,aery,,,,http://wordnet-rdf.princeton.edu/wn31/aery-n,2,http://wordnet-rdf.princeton.edu/wn31/108509364-n,0,http://wordnet-rdf.princeton.edu/wn31/108598331-n,,,,,,,,,,,,,,,,,,,,,,,,
pv27,affluent,,,,http://wordnet-rdf.princeton.edu/wn31/affluent-n,2,http://wordnet-rdf.princeton.edu/wn31/109301903-n,0,http://wordnet-rdf.princeton.edu/wn31/109251231-n,,,,,,,,,,,,,,,,,,,,,,,,
pv28,agricultural colony,agricultural colony,http://www.geonames.org/ontology#L.AGRC,http://www.geonames.org/ontology#L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv29,agricultural facility,agricultural facility,http://www.geonames.org/ontology#S.AGRF,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv30,agricultural reserve,agricultural reserve,http://www.geonames.org/ontology#L.RESA,http://www.geonames.org/ontology#L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
